"DT_TOTALIZACAO     ","QT_SECOES_TOTAL","QT_APTOS_TOTAL","QT_SECOES_TOT","QT_SECOES_TOT_ACUMULADO","PE_SECOES_TOT_ACUMULADO                      ","QT_APTOS_TOT","QT_APTOS_TOT_ACUMULADO","QT_VOTOS_TOTAL","QT_VOTOS_TOTAL_ACUMULADO","QT_VOTOS_CONCORRENTES","QT_VOTOS_CONCORRENTES_ACUMULADO","CIRO_GOMES_QT_VOTOS_TOT","CIRO_GOMES_QT_VOTOS_TOT_ACUMULADO","CIRO_GOMES_PE_VOTOS_TOT_ACUMULADO            ","LULA_QT_VOTOS_TOT","LULA_QT_VOTOS_TOT_ACUMULADO","LULA_PE_VOTOS_TOT_ACUMULADO                  ","PADRE_KELMON_QT_VOTOS_TOT","PADRE_KELMON_QT_VOTOS_TOT_ACUMULADO","PADRE_KELMON_PE_VOTOS_TOT_ACUMULADO          ","SIMONE_TEBET_QT_VOTOS_TOT","SIMONE_TEBET_QT_VOTOS_TOT_ACUMULADO","SIMONE_TEBET_PE_VOTOS_TOT_ACUMULADO          ","VERA_QT_VOTOS_TOT","VERA_QT_VOTOS_TOT_ACUMULADO","VERA_PE_VOTOS_TOT_ACUMULADO                  ","SOFIA_MANZANO_QT_VOTOS_TOT","SOFIA_MANZANO_QT_VOTOS_TOT_ACUMULADO","SOFIA_MANZANO_PE_VOTOS_TOT_ACUMULADO         ","JAIR_BOLSONARO_QT_VOTOS_TOT","JAIR_BOLSONARO_QT_VOTOS_TOT_ACUMULADO","JAIR_BOLSONARO_PE_VOTOS_TOT_ACUMULADO        ","CONSTITUINTE_EYMAEL_QT_VOTOS_TOT","CONSTITUINTE_EYMAEL_QT_VOTOS_TOT_ACUMULADO","CONSTITUINTE_EYMAEL_PE_VOTOS_TOT_ACUMULADO   ","FELIPE_DAVILA_QT_VOTOS_TOT","FELIPE_DAVILA_QT_VOTOS_TOT_ACUMULADO","FELIPE_DAVILA_PE_VOTOS_TOT_ACUMULADO         ","SORAYA_THRONICKE_QT_VOTOS_TOT","SORAYA_THRONICKE_QT_VOTOS_TOT_ACUMULADO","SORAYA_THRONICKE_PE_VOTOS_TOT_ACUMULADO      ","LEO_PERICLES_QT_VOTOS_TOT","LEO_PERICLES_QT_VOTOS_TOT_ACUMULADO","LEO_PERICLES_PE_VOTOS_TOT_ACUMULADO          ","BRANCO_QT_VOTOS_TOT","BRANCO_QT_VOTOS_TOT_ACUMULADO","BRANCO_PE_VOTOS_TOT_ACUMULADO                ","NULO_QT_VOTOS_TOT","NULO_QT_VOTOS_TOT_ACUMULADO","NULO_PE_VOTOS_TOT_ACUMULADO"
"10/2/2022 17:04","472075","156454011","191","191","0.000405","132417","132417","61102","61102","58761","58761","2985","2985","0.050799","31612","31612","0.537976","102","102","0.001736","2596","2596","0.044179","124","124","0.00211","189","189","0.003216","19974","19974","0.339919","76","76","0.001293","806","806","0.013717","198","198","0.00337","99","99","0.001685","1336","1336","0.021865","1005","1005","0.016448"
"10/2/2022 17:04","472075","156454011","263","454","0.000962","186340","318757","82334","143436","79445","138206","4081","7066","0.051127","39064","70676","0.511382","106","208","0.001505","3513","6109","0.044202","168","292","0.002113","188","377","0.002728","30846","50820","0.367712","72","148","0.001071","1051","1857","0.013436","257","455","0.003292","99","198","0.001433","1626","2962","0.02065","1263","2268","0.015812"
"10/2/2022 17:04","472075","156454011","1","455","0.000964","580","319337","313","143749","311","138517","26","7092","0.051199","213","70889","0.511771","0","208","0.001502","12","6121","0.04419","0","292","0.002108","1","378","0.002729","55","50875","0.367283","1","149","0.001076","3","1860","0.013428","0","455","0.003285","0","198","0.001429","2","2964","0.020619","0","2268","0.015778"
"10/2/2022 17:06","472075","156454011","1","456","0.000966","167","319504","127","143876","121","138638","2","7094","0.051169","57","70946","0.511736","0","208","0.0015","10","6131","0.044223","0","292","0.002106","0","378","0.002727","52","50927","0.367338","0","149","0.001075","0","1860","0.013416","0","455","0.003282","0","198","0.001428","3","2967","0.020622","3","2271","0.015784"
"10/2/2022 17:06","472075","156454011","1","457","0.000968","259","319763","198","144074","188","138826","1","7095","0.051107","61","71007","0.511482","0","208","0.001498","12","6143","0.04425","0","292","0.002103","0","378","0.002723","113","51040","0.367654","0","149","0.001073","1","1861","0.013405","0","455","0.003277","0","198","0.001426","2","2969","0.020607","8","2279","0.015818"
"10/2/2022 17:07","472075","156454011","7","464","0.000983","2521","322284","2176","146250","2105","140931","53","7148","0.05072","703","71710","0.508831","4","212","0.001504","112","6255","0.044383","2","294","0.002086","0","378","0.002682","1197","52237","0.370657","0","149","0.001057","12","1873","0.01329","22","477","0.003385","0","198","0.001405","24","2993","0.020465","47","2326","0.015904"
"10/2/2022 17:07","472075","156454011","4","468","0.000991","1176","323460","962","147212","923","141854","33","7181","0.050622","275","71985","0.507458","2","214","0.001509","67","6322","0.044567","1","295","0.00208","0","378","0.002665","528","52765","0.371967","0","149","0.00105","9","1882","0.013267","8","485","0.003419","0","198","0.001396","11","3004","0.020406","28","2354","0.015991"
"10/2/2022 17:08","472075","156454011","2","470","0.000996","678","324138","537","147749","527","142381","19","7200","0.050569","215","72200","0.50709","0","214","0.001503","36","6358","0.044655","0","295","0.002072","0","378","0.002655","249","53014","0.372339","0","149","0.001046","3","1885","0.013239","4","489","0.003434","1","199","0.001398","5","3009","0.020366","5","2359","0.015966"
"10/2/2022 17:08","472075","156454011","33","503","0.001066","11203","335341","9385","157134","9075","151456","321","7521","0.049658","2960","75160","0.49625","5","219","0.001446","591","6949","0.045881","6","301","0.001987","4","382","0.002522","5006","58020","0.383082","3","152","0.001004","107","1992","0.013152","66","555","0.003664","6","205","0.001354","118","3127","0.0199","192","2551","0.016235"
"10/2/2022 17:08","472075","156454011","1","504","0.001068","295","335636","251","157385","243","151699","6","7527","0.049618","166","75326","0.496549","0","219","0.001444","1","6950","0.045814","0","301","0.001984","0","382","0.002518","70","58090","0.382929","0","152","0.001002","0","1992","0.013131","0","555","0.003659","0","205","0.001351","0","3127","0.019868","8","2559","0.016259"
"10/2/2022 17:09","472075","156454011","11","515","0.001091","3285","338921","2687","160072","2589","154288","124","7651","0.049589","974","76300","0.49453","2","221","0.001432","146","7096","0.045992","0","301","0.001951","3","385","0.002495","1307","59397","0.384975","1","153","0.000992","17","2009","0.013021","13","568","0.003681","2","207","0.001342","47","3174","0.019829","51","2610","0.016305"
"10/2/2022 17:09","472075","156454011","5","520","0.001102","1451","340372","1150","161222","1124","155412","41","7692","0.049494","660","76960","0.4952","2","223","0.001435","65","7161","0.046078","0","301","0.001937","0","385","0.002477","348","59745","0.38443","0","153","0.000984","2","2011","0.01294","6","574","0.003693","0","207","0.001332","9","3183","0.019743","17","2627","0.016294"
"10/2/2022 17:09","472075","156454011","22","542","0.001148","6872","347244","5671","166893","5450","160862","224","7916","0.04921","1764","78724","0.489388","4","227","0.001411","402","7563","0.047015","2","303","0.001884","1","386","0.0024","2947","62692","0.389725","0","153","0.000951","67","2078","0.012918","38","612","0.003805","1","208","0.001293","79","3262","0.019545","142","2769","0.016591"
"10/2/2022 17:09","472075","156454011","13","555","0.001176","4801","352045","4069","170962","3932","164794","111","8027","0.048709","1356","80080","0.48594","4","231","0.001402","205","7768","0.047138","1","304","0.001845","4","390","0.002367","2184","64876","0.393679","1","154","0.000935","10","2088","0.01267","52","664","0.004029","4","212","0.001286","52","3314","0.019384","85","2854","0.016694"
"10/2/2022 17:09","472075","156454011","1","556","0.001178","176","352221","156","171118","156","164950","2","8029","0.048675","138","80218","0.486317","0","231","0.0014","2","7770","0.047105","0","304","0.001843","0","390","0.002364","14","64890","0.393392","0","154","0.000934","0","2088","0.012658","0","664","0.004025","0","212","0.001285","0","3314","0.019367","0","2854","0.016679"
"10/2/2022 17:10","472075","156454011","1","557","0.00118","345","352566","289","171407","279","165229","7","8036","0.048636","122","80340","0.486234","0","231","0.001398","9","7779","0.04708","0","304","0.00184","0","390","0.00236","140","65030","0.393575","0","154","0.000932","0","2088","0.012637","1","665","0.004025","0","212","0.001283","4","3318","0.019357","6","2860","0.016685"
"10/2/2022 17:10","472075","156454011","23","580","0.001229","6629","359195","5565","176972","5404","170633","231","8267","0.048449","1916","82256","0.482064","2","233","0.001366","338","8117","0.04757","4","308","0.001805","2","392","0.002297","2841","67871","0.39776","1","155","0.000908","43","2131","0.012489","24","689","0.004038","2","214","0.001254","72","3390","0.019156","89","2949","0.016664"
"10/2/2022 17:10","472075","156454011","8","588","0.001246","2322","361517","1956","178928","1901","172534","59","8326","0.048257","832","83088","0.481575","5","238","0.001379","140","8257","0.047857","0","308","0.001785","0","392","0.002272","843","68714","0.398264","1","156","0.000904","7","2138","0.012392","12","701","0.004063","2","216","0.001252","20","3410","0.019058","35","2984","0.016677"
"10/2/2022 17:10","472075","156454011","29","617","0.001307","8811","370328","7267","186195","7025","179559","286","8612","0.047962","2633","85721","0.477397","8","246","0.00137","387","8644","0.04814","3","311","0.001732","2","394","0.002194","3618","72332","0.402831","1","157","0.000874","27","2165","0.012057","57","758","0.004221","3","219","0.00122","100","3510","0.018851","142","3126","0.016789"
"10/2/2022 17:10","472075","156454011","4","621","0.001315","1204","371532","962","187157","932","180491","30","8642","0.047881","425","86146","0.477287","0","246","0.001363","36","8680","0.048091","0","311","0.001723","0","394","0.002183","425","72757","0.403106","0","157","0.00087","11","2176","0.012056","5","763","0.004227","0","219","0.001213","6","3516","0.018786","24","3150","0.016831"
"10/2/2022 17:11","472075","156454011","2","623","0.00132","570","372102","484","187641","470","180961","19","8661","0.047861","197","86343","0.477136","0","246","0.001359","23","8703","0.048093","0","311","0.001719","0","394","0.002177","225","72982","0.403302","0","157","0.000868","4","2180","0.012047","2","765","0.004227","0","219","0.00121","6","3522","0.01877","8","3158","0.01683"
"10/2/2022 17:11","472075","156454011","38","661","0.0014","11523","383625","9447","197088","9101","190062","336","8997","0.047337","2844","89187","0.469252","7","253","0.001331","658","9361","0.049252","4","315","0.001657","3","397","0.002089","5083","78065","0.410734","1","158","0.000831","96","2276","0.011975","64","829","0.004362","5","224","0.001179","138","3660","0.01857","208","3366","0.017079"
"10/2/2022 17:11","472075","156454011","5","666","0.001411","1245","384870","1015","198103","982","191044","20","9017","0.047199","458","89645","0.469237","1","254","0.00133","21","9382","0.049109","0","315","0.001649","0","397","0.002078","479","78544","0.41113","0","158","0.000827","1","2277","0.011919","2","831","0.00435","0","224","0.001173","6","3666","0.018506","27","3393","0.017127"
"10/2/2022 17:11","472075","156454011","6","672","0.001424","1962","386832","1495","199598","1435","192479","15","9032","0.046925","636","90281","0.469043","0","254","0.00132","56","9438","0.049034","0","315","0.001637","0","397","0.002063","718","79262","0.411796","0","158","0.000821","1","2278","0.011835","9","840","0.004364","0","224","0.001164","30","3696","0.018517","30","3423","0.017149"
"10/2/2022 17:11","472075","156454011","10","682","0.001445","2982","389814","2525","202123","2470","194949","94","9126","0.046812","1134","91415","0.468918","3","257","0.001318","153","9591","0.049197","0","315","0.001616","2","399","0.002047","1066","80328","0.412046","0","158","0.00081","12","2290","0.011747","4","844","0.004329","2","226","0.001159","21","3717","0.01839","34","3457","0.017103"
"10/2/2022 17:11","472075","156454011","4","686","0.001453","1111","390925","890","203013","867","195816","17","9143","0.046692","302","91717","0.468384","1","258","0.001318","35","9626","0.049158","0","315","0.001609","0","399","0.002038","502","80830","0.412785","0","158","0.000807","3","2293","0.01171","7","851","0.004346","0","226","0.001154","4","3721","0.018329","19","3476","0.017122"
"10/2/2022 17:11","472075","156454011","22","708","0.0015","7360","398285","6029","209042","5796","201612","239","9382","0.046535","1699","93416","0.463345","9","267","0.001324","385","10011","0.049655","3","318","0.001577","2","401","0.001989","3340","84170","0.417485","0","158","0.000784","82","2375","0.01178","35","886","0.004395","2","228","0.001131","105","3826","0.018303","128","3604","0.017241"
"10/2/2022 17:12","472075","156454011","4","712","0.001508","986","399271","756","209798","737","202349","18","9400","0.046454","411","93827","0.463689","0","267","0.00132","31","10042","0.049627","0","318","0.001572","0","401","0.001982","276","84446","0.417328","0","158","0.000781","1","2376","0.011742","0","886","0.004379","0","228","0.001127","7","3833","0.01827","12","3616","0.017236"
"10/2/2022 17:12","472075","156454011","2","714","0.001512","406","399677","313","210111","304","202653","6","9406","0.046414","95","93922","0.463462","0","267","0.001318","14","10056","0.049622","0","318","0.001569","0","401","0.001979","187","84633","0.417625","0","158","0.00078","2","2378","0.011734","0","886","0.004372","0","228","0.001125","5","3838","0.018267","4","3620","0.017229"
