,PIB,IBOVESPA,IPC
2000-12-31,655448231983.527,16263.463709677419,52.5315827425714
2001-12-31,559983634798.981,14046.702040816326,56.1249316036126
2002-12-31,509795273806.715,11445.935742971888,60.8675805806435
2003-12-31,558233745651.874,14449.316,69.8241962003047
2004-12-31,669289424806.307,22314.289156626506,74.430627668128
2005-12-31,891633839853.105,27551.21686746988,79.5436673306746
2006-12-31,1107626541710.74,38037.772357723574,82.8714308457339
2007-12-31,1397114486471.38,53114.102040816324,85.8890058743968
2008-12-31,1695855083552.05,55260.93172690763,90.7662937251916
2009-12-31,1666996438681.46,52750.85772357724,95.202981748031
2010-12-31,2208837745214.23,67258.31578947368,100.0
2011-12-31,2616156223977.47,61206.78313253012,106.636449622131
2012-12-31,2465227803011.57,59578.74590163935,112.398549260784
2013-12-31,2472819535742.73,53670.4314516129,119.372104441451
2014-12-31,2456043727198.85,52729.67338709677,126.927212865611
2015-12-31,1802212206904.68,49779.882113821135,138.388614560103
2016-12-31,1795693482652.52,53258.409638554214,150.482594206408
2017-12-31,2063514977334.32,68063.5141700405,155.668786230018
2018-12-31,1916933898038.36,81639.08571428571,161.373814183906
2019-12-31,1873288205186.45,100658.49193548386,167.397860280061
2020-12-31,1476107231194.11,98674.44354838709,172.774291252888
2021-12-31,1649622821885.14,116892.4939271255,187.117425058296
2022-12-31,1920095779022.73,109618.996,204.482120615775
