,CIDADE,LAT,LONG,AREA,QUARTOS,BANHEIRO,ESTACIONAMENTO,PISO,ANIMAL,MOBILIA,TAXA,ALUGUEL,IPTU,SEGURO,DESPESA_TOTAL
0,4.0,-23.53967,-46.61797,70.0,2.0,1.0,1.0,7.0,0.0,0.0,2065.0,3300.0,211.0,42.0,5618.0
1,4.0,-23.58608,-46.64422,320.0,4.0,4.0,0.0,20.0,0.0,1.0,1200.0,4960.0,1750.0,63.0,7973.0
2,2.0,-30.03272,-51.20665,80.0,1.0,1.0,1.0,6.0,0.0,1.0,1000.0,2800.0,0.0,41.0,3841.0
3,2.0,-30.0235,-51.22581,51.0,2.0,1.0,0.0,2.0,0.0,1.0,270.0,1112.0,22.0,17.0,1421.0
4,4.0,-23.59734,-46.60462,25.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,800.0,25.0,11.0,836.0
5,3.0,-22.9075,-43.15793,72.0,2.0,1.0,0.0,7.0,0.0,1.0,740.0,1900.0,85.0,25.0,2750.0
6,4.0,-23.54986,-46.61941,213.0,4.0,4.0,4.0,4.0,0.0,1.0,2254.0,3223.0,1735.0,41.0,7253.0
7,4.0,-23.53195,-46.62225,152.0,2.0,2.0,1.0,3.0,0.0,0.0,1000.0,15000.0,250.0,191.0,16440.0
8,3.0,-22.94294,-43.15029,35.0,1.0,1.0,0.0,2.0,0.0,0.0,590.0,2300.0,35.0,30.0,2955.0
9,4.0,-23.50321,-46.63282,26.0,1.0,1.0,0.0,2.0,0.0,0.0,470.0,2100.0,150.0,27.0,2747.0
10,1.0,-22.90892,-47.05165,46.0,1.0,1.0,1.0,10.0,0.0,1.0,550.0,580.0,43.0,8.0,1181.0
11,4.0,-23.50758,-46.62651,36.0,1.0,1.0,0.0,11.0,0.0,1.0,359.0,2100.0,70.0,27.0,2556.0
12,4.0,-23.59137,-46.62636,55.0,1.0,1.0,1.0,2.0,0.0,0.0,790.0,4200.0,224.0,54.0,5268.0
13,4.0,-23.50129,-46.62015,100.0,2.0,2.0,2.0,24.0,0.0,0.0,900.0,4370.0,17.0,56.0,5343.0
14,4.0,-23.58082,-46.62138,110.0,2.0,2.0,1.0,1.0,0.0,1.0,700.0,3000.0,122.0,39.0,3861.0
15,3.0,-22.90269,-43.15708,88.0,2.0,3.0,1.0,9.0,1.0,0.0,1614.0,3500.0,221.0,16.0,5351.0
16,3.0,-22.92737,-43.15406,56.0,2.0,1.0,0.0,8.0,0.0,1.0,800.0,1220.0,0.0,16.0,2036.0
17,0.0,-19.90666,-43.93886,42.0,1.0,1.0,1.0,17.0,1.0,0.0,470.0,2690.0,172.0,36.0,3368.0
18,4.0,-23.54414,-46.61221,160.0,3.0,2.0,2.0,18.0,0.0,0.0,1530.0,1900.0,167.0,25.0,3622.0
19,3.0,-22.94082,-43.18684,90.0,3.0,2.0,1.0,7.0,0.0,1.0,800.0,1800.0,118.0,24.0,2742.0
20,4.0,-23.59937,-46.63457,49.0,1.0,1.0,1.0,10.0,0.0,1.0,480.0,3500.0,42.0,45.0,4067.0
21,4.0,-23.51812,-46.63559,41.0,1.0,1.0,1.0,5.0,1.0,0.0,600.0,3000.0,0.0,39.0,3639.0
22,0.0,-19.93778,-43.94643,64.0,2.0,2.0,1.0,11.0,0.0,1.0,352.0,1500.0,80.0,20.0,1952.0
23,4.0,-23.58955,-46.63001,20.0,1.0,1.0,0.0,5.0,0.0,0.0,602.0,1800.0,130.0,23.0,2555.0
24,4.0,-23.57079,-46.63836,55.0,2.0,2.0,2.0,6.0,0.0,1.0,780.0,1068.0,142.0,14.0,2004.0
25,4.0,-23.54501,-46.62246,32.0,1.0,1.0,0.0,3.0,0.0,1.0,515.0,1700.0,29.0,22.0,2266.0
26,4.0,-23.51432,-46.63176,80.0,2.0,2.0,1.0,11.0,0.0,1.0,1208.0,2550.0,216.0,33.0,4007.0
27,3.0,-22.93266,-43.17622,45.0,1.0,1.0,1.0,10.0,0.0,0.0,2450.0,2500.0,593.0,33.0,5576.0
28,4.0,-23.52251,-46.61295,350.0,4.0,4.0,3.0,8.0,0.0,1.0,2100.0,4000.0,500.0,51.0,6651.0
