,Rank,Ordinal Rank,University Name,Overall Score,City,Country,Citations per Paper,Papers per Faculty,Academic Reputation,Faculty Student Ratio,Staff with PhD,International Research Center,International Students,Outbound Exchange,Inbound Exchange,International Faculty,Employer Reputation
0,1,1,Peking University,100.0,Beijing,China,96.4,79.8,100.0,98.6,90.7,98.0,69.1,100.0,88.5,83.2,100.0
1,2,2,The University of Hong Kong,99.7,Pokfulam,Hong Kong,99.5,55.0,100.0,93.3,97.4,98.4,100.0,100.0,99.8,100.0,96.8
2,3,3,National University of Singapore (NUS),98.9,Singapore,Singapore,99.9,57.4,100.0,85.8,82.5,99.9,99.2,97.6,93.4,100.0,99.9
3,4,4,Nanyang Technological University,98.3,Singapore,Singapore,100.0,53.8,100.0,93.0,67.0,99.7,98.8,97.9,90.5,100.0,98.8
4,5,5,Fudan University,97.2,Shanghai,China,92.1,63.1,99.8,92.5,73.4,92.1,81.0,94.9,99.5,98.9,99.5
5,6,6,The Chinese University of Hong Kong (CUHK),96.7,Sha Tin,Hong Kong,99.6,61.5,99.9,84.0,80.3,96.0,99.4,96.1,100.0,100.0,91.5
6,7,7,Tsinghua University,96.3,Beijing,China,98.6,80.8,100.0,99.0,96.9,97.9,51.7,59.6,15.9,46.0,100.0
7,8,8,Zhejiang University,96.0,Hangzhou,China,86.0,96.2,99.3,54.2,95.1,99.9,66.4,100.0,100.0,99.7,99.9
8,9,9,Yonsei University,95.4,Seoul,South Korea,78.2,45.3,99.8,94.8,98.4,97.7,90.9,68.4,100.0,50.5,100.0
9,10,10,City University of Hong Kong (CityUHK),95.3,Kowloon,Hong Kong,99.8,91.4,96.6,97.7,97.7,88.9,100.0,100.0,100.0,100.0,74.0
10,11,11,The Hong Kong University of Science and Technology,95.1,Clear Water Bay,Hong Kong,99.9,77.8,99.7,76.6,94.3,70.6,99.8,100.0,98.8,100.0,92.3
11,12,12,Universiti Malaya (UM),94.8,Kuala Lumpur,Malaysia,67.5,37.0,99.7,92.1,84.9,99.9,94.2,94.3,99.0,89.4,99.9
12,13,13,Korea University,94.5,Seoul,South Korea,89.4,41.8,99.5,87.7,93.7,91.1,85.7,81.4,100.0,40.6,99.9
13,14,14,Shanghai Jiao Tong University,93.2,Shanghai,China,76.7,96.3,99.8,79.1,61.9,95.8,67.6,65.9,100.0,43.2,99.4
14,15,15,KAIST - Korea Advanced Institute of Science & Technology,92.4,Daejeon,South Korea,89.1,83.1,99.9,79.5,98.3,70.6,45.5,67.3,81.1,51.2,99.7
15,16,16,Sungkyunkwan University (SKKU),92.1,Suwon,South Korea,80.5,42.0,96.2,92.9,97.9,80.3,83.6,99.4,100.0,44.9,96.8
16,17,17,The Hong Kong Polytechnic University,92.0,Kowloon,Hong Kong,99.9,60.3,98.2,83.1,64.9,97.8,99.6,90.4,73.0,100.0,78.8
17,18,18,Seoul National University,91.8,Seoul,South Korea,69.3,69.0,100.0,94.2,79.0,95.6,56.4,40.4,78.2,30.5,100.0
18,19,19,Hanyang University,89.1,Seoul,South Korea,80.0,34.3,89.4,91.1,79.7,89.0,91.6,73.7,97.1,44.8,98.3
19,20,20,Universiti Putra Malaysia (UPM),89.0,Serdang,Malaysia,42.7,41.9,96.2,77.5,96.8,98.2,99.7,100.0,100.0,70.9,94.3
20,21,21,The University of Tokyo,88.6,Tokyo,Japan,35.8,72.6,100.0,97.0,87.8,99.5,76.0,37.8,24.9,29.5,100.0
21,22,22,Pohang University of Science And Technology (POSTECH),88.1,Pohang ,South Korea,92.3,82.2,91.1,100.0,98.6,36.5,14.0,75.5,91.8,60.8,98.3
22,23,23,Kyoto University,88.0,Kyoto,Japan,42.0,55.8,100.0,98.7,90.4,99.3,62.3,10.5,24.8,42.0,100.0
23,24,24,Nanjing University,86.5,Nanjing,China,97.4,69.1,95.4,61.6,74.3,92.0,35.6,92.0,95.8,90.2,73.4
24,25,25,Tohoku University,86.4,Sendai City,Japan,20.1,51.4,99.0,99.7,89.3,92.9,46.9,76.6,57.0,38.5,99.0
25,26,26,National Taiwan University (NTU),85.5,Taipei,Taiwan,61.2,52.0,100.0,43.1,85.1,94.7,72.4,38.6,73.0,43.4,99.8
26,27,26,Universiti Kebangsaan Malaysia (UKM),85.5,Bangi,Malaysia,29.8,35.6,96.7,89.8,91.0,98.9,97.5,37.1,29.6,79.7,95.7
27,28,28,Universiti Teknologi Malaysia,84.8,Skudai,Malaysia,47.4,54.4,90.7,66.9,85.6,98.8,99.1,73.7,90.1,38.4,93.4
28,29,29,Al-Farabi Kazakh National University,84.6,Almaty,Kazakhstan,2.0,5.3,94.4,99.9,95.5,90.3,90.4,100.0,98.8,82.3,98.7
29,30,30,Tokyo Institute of Technology (Tokyo Tech),84.2,Tokyo,Japan,19.1,73.7,99.2,94.7,71.1,87.4,76.8,9.0,22.2,54.9,99.9
30,31,31,University of Science and Technology of China,84.0,Hefei,China,98.0,77.0,92.4,99.8,41.3,96.7,26.3,91.9,33.6,33.0,66.3
31,32,32,Nagoya University,82.6,Nagoya,Japan,21.7,52.2,97.4,95.0,89.3,90.4,63.3,11.8,27.9,39.3,95.5
32,33,32,Osaka University,82.6,Osaka City,Japan,20.4,81.9,99.7,49.3,93.3,92.8,48.9,42.4,46.8,55.6,99.4
33,34,34,Kyushu University,82.0,Fukuoka City,Japan,24.2,53.6,95.8,90.5,95.1,93.8,56.6,6.5,6.2,47.2,95.7
34,35,35,Hokkaido University,81.8,Sapporo,Japan,27.8,49.1,96.1,90.5,87.2,97.4,48.6,6.5,6.2,47.2,94.7
35,36,36,Taylor's University,81.3,Subang Jaya,Malaysia,95.7,15.1,73.3,98.8,14.0,62.5,100.0,100.0,92.1,91.6,98.5
36,37,37,Universiti Sains Malaysia (USM),80.8,Gelugor,Malaysia,27.5,44.3,96.9,63.1,54.2,99.6,99.8,40.8,29.0,56.1,96.6
37,38,38,Wuhan University,80.5,Wuhan,China,93.7,72.8,85.0,26.2,88.5,97.5,25.1,91.9,38.6,74.0,82.8
38,39,39,National Tsing Hua University - NTHU,78.4,Hsinchu City,Taiwan,44.6,72.7,94.7,46.5,94.4,68.1,51.2,33.3,30.3,28.0,96.9
39,40,40,Kyung Hee University,77.5,Seoul,South Korea,72.9,22.3,66.8,93.7,94.4,80.6,91.8,97.5,98.8,38.8,80.1
40,41,41,National Cheng Kung University (NCKU),77.4,Tainan City,Taiwan,37.6,37.3,93.5,53.1,81.8,85.1,52.8,34.1,13.0,42.8,97.6
41,42,42,National Yang Ming Chiao Tung University (NYCU),76.9,Hsinchu City,Taiwan,28.7,74.5,78.7,71.7,96.8,79.7,62.6,48.1,46.0,48.7,94.5
42,43,43,Tongji University,76.2,Shanghai,China,79.2,89.8,77.4,47.8,76.1,95.4,72.6,100.0,98.4,86.0,54.1
43,44,44,Indian Institute of Technology Delhi (IITD),75.4,New Delhi,India,26.9,95.2,95.0,27.2,94.7,89.2,5.3,9.7,2.7,9.1,99.0
44,45,45,UCSI University,75.1,Kuala Lumpur,Malaysia,48.4,10.9,72.4,97.6,21.0,56.3,99.9,100.0,100.0,99.0,94.9
45,46,46,Universitas Indonesia,74.7,Depok,Indonesia,1.5,17.4,95.2,85.9,10.6,55.5,31.6,100.0,100.0,98.8,98.0
46,47,47,Chulalongkorn University,73.7,Bangkok,Thailand,31.2,18.5,98.3,51.1,78.0,98.0,15.8,28.2,26.2,47.1,79.0
47,48,48,Indian Institute of Technology Bombay (IITB),73.1,Mumbai,India,16.9,96.2,96.6,17.9,96.3,78.0,3.6,6.4,6.9,13.1,99.5
48,49,48,Keio University,73.1,Tokyo,Japan,18.0,15.5,93.8,77.0,3.3,83.8,43.7,30.5,42.9,27.8,99.8
49,50,48,Sun Yat-sen University,73.1,Guangzhou,China,91.2,42.3,77.4,67.2,93.3,97.3,18.8,5.4,1.2,5.9,70.9
50,51,51,Waseda University,72.8,Tokyo,Japan,10.7,13.4,96.5,40.4,18.1,91.5,74.3,46.6,36.6,61.2,99.9
51,52,52,Airlangga University,70.5,Surabaya,Indonesia,1.4,10.0,85.1,82.4,9.7,60.7,31.9,86.9,93.1,88.2,97.8
52,53,53,Gadjah Mada University,70.2,Yogyakarta,Indonesia,1.5,10.7,95.1,77.3,8.8,57.0,14.8,47.4,76.7,75.1,96.7
53,54,54,Universiti Teknologi PETRONAS (UTP),70.2,Seri Iskandar,Malaysia,49.1,90.2,58.2,66.8,46.2,89.7,64.1,88.6,98.3,98.0,70.9
54,55,55,Mahidol University,70.1,Nakhon Pathom,Thailand,19.8,14.0,88.8,93.3,81.8,83.6,22.2,48.9,76.2,15.1,62.4
55,56,56,Indian Institute of Technology Madras (IITM),69.6,Chennai,India,16.5,98.1,88.7,30.5,99.9,56.1,6.3,30.5,5.9,11.7,95.0
56,57,57,Tianjin University,69.5,Tianjin,China,89.9,92.4,53.3,69.8,56.0,90.7,69.5,97.6,99.1,56.9,53.0
57,58,58,Harbin Institute of Technology,69.3,Harbin,China,78.6,96.9,71.2,45.9,77.4,93.0,27.5,40.9,4.4,24.1,63.4
58,59,59,Bandung Institute of Technology (ITB),69.1,Bandung,Indonesia,1.8,19.4,88.5,71.0,79.8,35.8,18.0,26.7,56.9,99.6,96.5
59,60,60,Indian Institute of Technology Kharagpur (IIT-KGP),68.8,Kharagpur,India,36.1,94.8,80.3,14.8,99.9,93.5,2.3,3.8,1.5,1.2,89.5
60,61,61,Beijing Normal University,68.7,Beijing,China,86.9,78.9,79.8,41.5,92.4,94.3,65.9,38.4,12.8,20.2,40.5
61,62,62,Indian Institute of Science,68.4,Bangalore,India,28.6,100.0,92.7,49.8,99.9,58.8,5.2,6.7,8.4,11.1,68.6
62,63,63,University of Tsukuba,68.3,Tsukuba City,Japan,16.2,44.2,82.6,74.8,88.2,91.9,62.8,16.5,28.1,34.6,63.5
63,64,64,Beijing Institute of Technology,68.0,Beijing,China,77.1,70.2,65.0,64.2,64.0,93.0,32.5,51.2,15.6,17.7,65.6
64,65,65,L.N. Gumilyov Eurasian National University (ENU),67.5,Astana,Kazakhstan,2.2,5.0,86.5,94.8,54.2,29.4,35.3,28.0,31.1,93.3,94.8
65,66,66,National Taiwan University of Science and Technology (Taiwan Tech),67.3,Taipei City,Taiwan,55.4,41.2,71.9,64.3,58.2,42.4,71.4,43.5,78.7,48.9,80.7
66,67,67,Indian Institute of Technology Kanpur (IITK),66.7,Kanpur,India,22.7,91.1,83.7,26.2,99.9,58.2,2.0,5.6,5.8,7.1,92.7
67,68,67,National University of Sciences & Technology (NUST) Islamabad,66.7,Islamabad,Pakistan,56.4,29.8,60.1,83.8,12.7,95.7,21.1,13.6,3.3,13.0,97.0
68,69,67,Huazhong University of Science and Technology,66.3,Wuhan,China,96.1,94.6,59.9,15.1,81.5,97.9,14.0,38.6,17.6,16.0,71.1
69,70,70,Ewha Womans University,66.1,Seoul,South Korea,60.0,13.6,65.4,90.6,95.3,45.1,68.6,90.7,92.8,21.3,61.6
70,71,71,Hong Kong Baptist University,65.3,Kowloon,Hong Kong,96.9,44.7,55.6,80.0,52.1,55.2,100.0,97.0,86.7,100.0,43.7
71,72,72,Xi’an Jiaotong University,64.5,Xi'an,China,71.2,83.1,57.2,24.1,71.6,98.2,19.8,27.2,7.8,11.7,82.0
72,73,73,Chung-Ang University (CAU),64.4,Seoul,South Korea,52.0,18.4,53.3,85.1,91.6,42.5,83.1,94.5,92.3,38.5,75.2
73,74,74,Sunway University,62.9,Petaling Jaya,Malaysia,77.9,28.7,48.9,71.9,14.9,76.5,75.9,15.9,35.6,70.6,81.8
74,75,75,Shandong University,62.8,Jinan,China,69.6,82.8,52.1,30.5,71.5,89.8,16.2,26.5,35.4,24.7,78.7
75,76,76,Kobe University,62.7,Kobe City,Japan,12.9,34.7,73.0,59.8,76.3,81.1,28.3,13.6,36.0,21.3,76.5
76,77,76,Xiamen University,62.7,Xiamen,China,95.4,53.3,65.7,34.0,57.1,88.6,16.4,27.6,84.5,15.7,49.9
77,78,78,Universiti Brunei Darussalam (UBD),62.3,Bandar Seri Begawan,Brunei,26.4,30.8,59.6,98.1,94.3,52.4,90.6,100.0,100.0,100.0,42.9
78,79,79,National Taiwan Normal University,62.2,Taipei City,Taiwan,26.4,14.6,80.6,81.5,65.5,30.2,71.0,60.4,68.7,39.1,60.5
79,80,79,Universiti Utara Malaysia (UUM),62.2,Sintok,Malaysia,38.1,21.6,63.0,59.3,83.3,50.1,98.5,60.8,99.1,48.4,67.6
80,81,81,Pusan National University,61.9,Busan,South Korea,36.0,36.9,58.9,79.8,93.4,84.1,52.4,40.7,74.8,30.4,53.4
81,82,81,University of Delhi,61.9,New Delhi,India,13.3,60.9,84.6,9.5,71.1,96.4,5.5,1.1,1.7,2.4,78.4
82,83,83,National Sun Yat-sen University,61.7,Kaohsiung City,Taiwan,24.2,46.1,70.3,51.4,96.0,52.8,45.4,61.7,46.2,53.8,66.9
