Mes	Dia	Telebrás	Indice
Jan	2	34,99	43,19
Jan	4	32,09	39,68
Jan	5	32,56	40,37
Jan	6	30,31	38,27
Jan	9	28,91	36,28
Jan	10	26,10	32,70
Jan	11	28,25	34,99
Jan	12	30,41	38,41
Jan	13	32,00	41,04
Jan	16	31,25	40,56
Jan	17	32,37	42,10
Jan	18	30,87	40,79
Jan	19	28,63	38,09
Jan	20	29,56	38,62
Jan	23	28,44	37,58
Jan	24	29,28	38,40
Jan	26	29,84	39,27
Jan	27	28,35	37,84
Jan	30	27,32	35,81
Jan	31	30,41	38,85
Fev	1	31,34	39,90
Fev	2	30,78	38,98
Fev	3	31,44	39,44
Fev	6	30,59	38,30
Fev	7	28,63	36,37
Fev	8	27,60	35,56
Fev	9	26,38	34,01
Fev	10	25,26	33,08
Fev	13	24,98	32,95
Fev	14	24,56	31,92
Fev	15	23,02	30,69
Fev	16	20,96	28,64
Fev	17	22,45	30,23
Fev	20	21,61	29,62
Fev	21	19,74	27,93
Fev	22	20,49	28,72
Fev	23	23,02	32,17
Fev	24	23,48	32,71
Fev	26	27,65	35,37
Fev	27	28,80	36,61
Fev	28	29,21	37,15
Fev	29	28,62	36,78
Mar	2	20,96	29,89
Mar	6	20,40	28,67
Mar	7	18,43	26,16
Mar	8	16,84	23,63
Mar	9	15,06	21,38
Mar	10	21,05	26,86
Mar	13	20,77	26,71
Mar	14	23,30	30,17
Mar	15	21,99	29,39
Mar	16	23,75	31,42
Mar	17	22,08	29,81
Mar	20	21,14	28,70
Mar	21	22,45	30,06
Mar	22	22,36	30,04
Mar	23	23,67	31,46
Mar	24	25,63	33,61
Mar	27	25,73	33,72
Mar	28	24,61	32,56
Mar	29	24,51	31,98
Mar	30	22,13	31,26
Mar	31	22,64	29,79
Abr	3	22,08	28,94
Abr	4	24,33	31,25
Abr	5	24,98	31,80
Abr	6	25,54	32,54
Abr	7	25,35	31,92
Abr	10	24,79	31,14
Abr	11	24,23	30,18
Abr	12	23,95	30,21
Abr	17	24,89	31,13
Abr	18	25,82	31,94
Abr	19	27,23	33,31
Abr	20	27,79	33,84
Abr	24	29,00	35,13
Abr	25	30,13	36,99
Abr	26	30,69	38,26
Abr	27	31,06	38,51
Abr	28	30,86	38,14
Mai	2	31,23	38,62
Mai	3	31,99	39,76
Mai	4	32,41	40,44
Mai	5	31,71	40,08
Mai	8	30,86	39,14
Mai	9	32,23	40,65
Mai	10	31,90	40,50
Mai	11	30,62	39,51
Mai	12	30,95	39,98
Mai	15	29,91	38,94
Mai	16	29,63	38,35
Mai	17	31,14	39,64
Mai	18	31,23	40,08
Mai	19	30,81	39,50
Mai	22	31,99	40,34
Mai	23	32,56	40,88
Mai	24	33,31	41,00
Mai	25	32,37	40,19
Mai	26	30,27	39,05
Mai	29	30,91	38,96
Mai	30	28,71	37,07
Mai	31	28,98	37,21
Jun	1	29,53	37,74
Jun	2	30,91	39,66
Jun	5	31,50	40,63
Jun	6	30,36	39,33
Jun	7	29,07	38,08
Jun	8	29,01	38,18
Jun	9	27,51	36,71
Jun	12	28,16	37,05
Jun	13	29,42	37,89
Jun	14	27,88	36,65
Jun	16	28,48	37,18
Jun	19	28,57	36,96
Jun	20	27,15	35,77
Jun	21	27,88	36,32
Jun	22	27,70	35,99
Jun	23	27,74	35,86
