Ano	PIB
1861	4,57
1862	5,04
1863	5,18
1864	5,35
1865	5,71
1866	5,65
1867	5,14
1868	5,05
1869	5,61
1870	6,48
1871	6,56
1872	6,55
1873	6,72
1874	7,71
1875	7,88
1876	7,98
1877	7,30
1878	7,32
1879	7,38
1880	7,88
1881	7,62
1882	6,86
1883	6,65
1884	6,54
1885	7,02
1886	8,07
1887	8,94
1888	9,25
1889	9,59
1890	9,64
1891	9,35
1892	9,15
1893	9,38
1894	9,14
1895	8,80
1896	8,12
1897	7,33
1898	6,89
1899	6,98
1900	8,08
1901	9,14
1902	10,17
1903	10,48
1904	11,34
1905	12,47
1906	13,76
1907	14,45
1908	16,01
1909	17,81
1910	20,56
1911	24,29
1912	26,75
1913	26,00
1914	22,91
1915	20,84
1916	21,07
1917	21,96
1918	24,60
1919	28,47
1920	30,39
1921	31,23
1922	33,76
1923	39,11
1924	43,60
1925	43,64
1926	44,83
1927	47,51
1928	54,28
1929	52,51
1930	47,99
1931	39,45
1932	39,40
1933	42,44
1934	51,18
1935	58,04
1936	63,79
1937	66,35
1938	68,54
1939	67,43
1940	67,53
1941	65,07
1942	66,03
1943	66,30
1944	68,24
1945	75,01
1946	84,48
1947	87,30
1948	93,76
1949	100,00
1950	106,44
1951	112,83
1952	115,70
1953	118,59
1954	130,57
1955	139,59
1956	144,05
1957	155,71
1958	167,70
1959	177,09
1960	194,27
1961	214,28
1962	225,63
1963	229,02
1964	235,66
1965	242,02
1966	254,37
1967	266,58
1968	291,37
1969	317,59
1970	347,77
1971	386,99
1972	433,62
1973	494,29
1974	538,96
1975	567,05
1976	624,37
1977	652,71
1978	683,46
1979	749,82
1980	799,61
1981	772,85
1982	779,94
1983	760,20
1984	803,53
1985	869,90
1986	941,26
